Class,Object,Field,Default,Minimum,Maximum,Distribution,Type,Group,Constraint
Sizing:Parameters,Sizing:Parameters,Heating Sizing Factor,1.33,0.931,1.729,uniform,float,,
Sizing:Parameters,Sizing:Parameters,Cooling Sizing Factor,1.33,0.931,1.729,uniform,float,,
Lights,Core_bottom_Lights,Watts per Zone Floor Area,10.76,7.532,13.988,uniform,float,G0001,
Lights,Core_mid_Lights,Watts per Zone Floor Area,10.76,7.532,13.988,uniform,float,G0001,
Lights,Core_top_Lights,Watts per Zone Floor Area,10.76,7.532,13.988,uniform,float,G0001,
Lights,Perimeter_bot_ZN_1_Lights,Watts per Zone Floor Area,10.76,7.532,13.988,uniform,float,G0001,
Lights,Perimeter_bot_ZN_2_Lights,Watts per Zone Floor Area,10.76,7.532,13.988,uniform,float,G0001,
Lights,Perimeter_bot_ZN_3_Lights,Watts per Zone Floor Area,10.76,7.532,13.988,uniform,float,G0001,
Lights,Perimeter_bot_ZN_4_Lights,Watts per Zone Floor Area,10.76,7.532,13.988,uniform,float,G0001,
Lights,Perimeter_mid_ZN_1_Lights,Watts per Zone Floor Area,10.76,7.532,13.988,uniform,float,G0001,
Lights,Perimeter_mid_ZN_2_Lights,Watts per Zone Floor Area,10.76,7.532,13.988,uniform,float,G0001,
Lights,Perimeter_mid_ZN_3_Lights,Watts per Zone Floor Area,10.76,7.532,13.988,uniform,float,G0001,
Lights,Perimeter_mid_ZN_4_Lights,Watts per Zone Floor Area,10.76,7.532,13.988,uniform,float,G0001,
Lights,Perimeter_top_ZN_1_Lights,Watts per Zone Floor Area,10.76,7.532,13.988,uniform,float,G0001,
Lights,Perimeter_top_ZN_2_Lights,Watts per Zone Floor Area,10.76,7.532,13.988,uniform,float,G0001,
Lights,Perimeter_top_ZN_3_Lights,Watts per Zone Floor Area,10.76,7.532,13.988,uniform,float,G0001,
Lights,Perimeter_top_ZN_4_Lights,Watts per Zone Floor Area,10.76,7.532,13.988,uniform,float,G0001,
ElectricEquipment,Core_bottom_PlugMisc_Equip,Watts per Zone Floor Area,10.76,7.532,13.988,uniform,float,G0001,
ElectricEquipment,Core_mid_PlugMisc_Equip,Watts per Zone Floor Area,10.76,7.532,13.988,uniform,float,G0001,
ElectricEquipment,Core_top_PlugMisc_Equip,Watts per Zone Floor Area,10.76,7.532,13.988,uniform,float,G0001,
ElectricEquipment,Perimeter_bot_ZN_1_PlugMisc_Equip,Watts per Zone Floor Area,10.76,7.532,13.988,uniform,float,G0001,
ElectricEquipment,Perimeter_bot_ZN_2_PlugMisc_Equip,Watts per Zone Floor Area,10.76,7.532,13.988,uniform,float,G0001,
ElectricEquipment,Perimeter_bot_ZN_3_PlugMisc_Equip,Watts per Zone Floor Area,10.76,7.532,13.988,uniform,float,G0001,
ElectricEquipment,Perimeter_bot_ZN_4_PlugMisc_Equip,Watts per Zone Floor Area,10.76,7.532,13.988,uniform,float,G0001,
ElectricEquipment,Perimeter_mid_ZN_1_PlugMisc_Equip,Watts per Zone Floor Area,10.76,7.532,13.988,uniform,float,G0001,
ElectricEquipment,Perimeter_mid_ZN_2_PlugMisc_Equip,Watts per Zone Floor Area,10.76,7.532,13.988,uniform,float,G0001,
ElectricEquipment,Perimeter_mid_ZN_3_PlugMisc_Equip,Watts per Zone Floor Area,10.76,7.532,13.988,uniform,float,G0001,
ElectricEquipment,Perimeter_mid_ZN_4_PlugMisc_Equip,Watts per Zone Floor Area,10.76,7.532,13.988,uniform,float,G0001,
ElectricEquipment,Perimeter_top_ZN_1_PlugMisc_Equip,Watts per Zone Floor Area,10.76,7.532,13.988,uniform,float,G0001,
ElectricEquipment,Perimeter_top_ZN_2_PlugMisc_Equip,Watts per Zone Floor Area,10.76,7.532,13.988,uniform,float,G0001,
ElectricEquipment,Perimeter_top_ZN_3_PlugMisc_Equip,Watts per Zone Floor Area,10.76,7.532,13.988,uniform,float,G0001,
ElectricEquipment,Perimeter_top_ZN_4_PlugMisc_Equip,Watts per Zone Floor Area,10.76,7.532,13.988,uniform,float,G0001,
ElectricEquipment,Core_bottom_Elevators_Equip,Design Level,32109.89011,22476.92,41742.86,uniform,float,,
Exterior:Lights,Exterior Facade Lighting,Design Level,14804,10362.8,19245.2,uniform,float,,
ZoneInfiltration:DesignFlowRate,FirstFloor_Plenum_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0002,
ZoneInfiltration:DesignFlowRate,MidFloor_Plenum_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0002,
ZoneInfiltration:DesignFlowRate,Perimeter_bot_ZN_1_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0002,
ZoneInfiltration:DesignFlowRate,Perimeter_bot_ZN_2_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0002,
ZoneInfiltration:DesignFlowRate,Perimeter_bot_ZN_3_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0002,
ZoneInfiltration:DesignFlowRate,Perimeter_bot_ZN_4_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0002,
ZoneInfiltration:DesignFlowRate,Perimeter_mid_ZN_1_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0002,
ZoneInfiltration:DesignFlowRate,Perimeter_mid_ZN_2_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0002,
ZoneInfiltration:DesignFlowRate,Perimeter_mid_ZN_3_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0002,
ZoneInfiltration:DesignFlowRate,Perimeter_mid_ZN_4_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0002,
ZoneInfiltration:DesignFlowRate,Perimeter_top_ZN_1_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0002,
ZoneInfiltration:DesignFlowRate,Perimeter_top_ZN_2_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0002,
ZoneInfiltration:DesignFlowRate,Perimeter_top_ZN_3_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0002,
ZoneInfiltration:DesignFlowRate,Perimeter_top_ZN_4_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0002,
ZoneInfiltration:DesignFlowRate,TopFloor_Plenum_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0002,
Coil:Heating:Gas,VAV_1_HeatC,Gas Burner Efficiency,0.8,0.56,0.99,uniform,float,,
Coil:Cooling:DX:TwoSpeed,VAV_1_CoolC DXCoil,Rated High Speed COP,3.233720558,2.261,4.199,uniform,float,,
Coil:Cooling:DX:TwoSpeed,VAV_1_CoolC DXCoil,Rated Low Speed COP,3.281865281,2.296,4.264,uniform,float,,
Coil:Cooling:DX:TwoSpeed,VAV_2_CoolC DXCoil,Rated High Speed COP,3.233720558,2.261,4.199,uniform,float,,
Coil:Cooling:DX:TwoSpeed,VAV_2_CoolC DXCoil,Rated Low Speed COP,3.281865281,2.296,4.264,uniform,float,,
Coil:Cooling:DX:TwoSpeed,VAV_3_CoolC DXCoil,Rated High Speed COP,3.233720558,2.261,4.199,uniform,float,,
Coil:Cooling:DX:TwoSpeed,VAV_3_CoolC DXCoil,Rated Low Speed COP,3.281865281,2.296,4.264,uniform,float,,
Schedule:Compact,CLGSETP_SCH,Field 4,26.7,18.69,34.71,uniform,float,CA1,HA1 - CA1 < -1
Schedule:Compact,CLGSETP_SCH,Field 6,24,16.8,31.2,uniform,float,CA2,HA2 - CA2 < -1
Schedule:Compact,CLGSETP_SCH,Field 8,26.7,18.69,34.71,uniform,float,CA3,HA3 - CA3 < -1
Schedule:Compact,CLGSETP_SCH,Field 11,26.7,18.69,34.71,uniform,float,CA4,HA5 - CA4 < -1
Schedule:Compact,CLGSETP_SCH,Field 13,24,16.8,31.2,uniform,float,CA5,HA6 - CA5 < -1
Schedule:Compact,CLGSETP_SCH,Field 15,26.7,18.69,34.71,uniform,float,CA6,HA7 - CA6 < -1
Schedule:Compact,CLGSETP_SCH,Field 18,26.7,18.69,34.71,uniform,float,CA7,HA8 - CA7 < -1
Schedule:Compact,CLGSETP_SCH,Field 21,26.7,18.69,34.71,uniform,float,CA8,HA9 - CA8 < -1
Schedule:Compact,HTGSETP_SCH,Field 4,15.6,10.92,20.28,uniform,float,HA1,
Schedule:Compact,HTGSETP_SCH,Field 6,21,14.7,27.3,uniform,float,HA2,
Schedule:Compact,HTGSETP_SCH,Field 8,15.6,10.92,20.28,uniform,float,HA3,
Schedule:Compact,HTGSETP_SCH,Field 11,15.6,10.92,20.28,uniform,float,HA4,HA4 - CA3 < -1
Schedule:Compact,HTGSETP_SCH,Field 14,15.6,10.92,20.28,uniform,float,HA5,
Schedule:Compact,HTGSETP_SCH,Field 16,21,14.7,27.3,uniform,float,HA6,
Schedule:Compact,HTGSETP_SCH,Field 18,15.6,10.92,20.28,uniform,float,HA7,
Schedule:Compact,HTGSETP_SCH,Field 21,21,14.7,27.3,uniform,float,HA8,
Schedule:Compact,HTGSETP_SCH,Field 24,15.6,10.92,20.28,uniform,float,HA9,
Schedule:Compact,MinOA_MotorizedDamper_Sched,Field 4,0,0,0.3,exponential,float,,
Schedule:Compact,MinOA_MotorizedDamper_Sched,Field 6,1,0.7,1.3,uniform,float,,
Schedule:Compact,MinOA_MotorizedDamper_Sched,Field 8,0,0,0.3,exponential,float,,
Schedule:Compact,MinOA_MotorizedDamper_Sched,Field 11,0,0,0.3,exponential,float,,
Schedule:Compact,MinOA_MotorizedDamper_Sched,Field 13,1,0.7,1.3,uniform,float,,
Schedule:Compact,MinOA_MotorizedDamper_Sched,Field 15,0,0,0.3,exponential,float,,
Schedule:Compact,MinOA_MotorizedDamper_Sched,Field 18,0,0,0.3,exponential,float,,
Schedule:Compact,Seasonal-Reset-Supply-Air-Temp-Sch,Field 4,12.8,8.96,16.64,uniform,float,,
